이벤트 분류,이벤트 코드,이벤트 이름,힌트 내용1,힌트 내용2
AllFloor,AF001,NoRunCorridor,복도에서 되도록 뛰지마라. 뛰고싶어도 못뛰게 될거다.,
AllFloor,AF002,Darkness,빛이 사라졌어! 어둠이 날 삼키고있어.,
AllFloor,AF003,DoorLock,내가 평소에 문단속을 하는 습관이 있었더라면..,
AllFloor,AF004,InterPhone,생각없이 인터폰을 사용하지 마. 그것이 무엇을 요구할지 몰라,
AllFloor,AF005,KnockKnock,노크소리에 대답을 한 뒤에 생각이 났어.. 여기에 사람은 나뿐이란 걸.,
_7F,7F000,7F_Test,테스트용 이벤트,
_7F,7F001,CorridorDoor,객실 문이 열린다면 반드시 피해.. 여기에 사람은 없어.,나는 열려있는 문으로 향했다
_7F,7F002,Frame,액자의 그녀는 너무 아릅다워.. 그녀를 더 보고싶어..,
_7F,7F003,Whisper,객실에서 말소리가 들려! 나는 반가워서 문을 열었어,
_7F,7F004,Scream,멀리서 비명 소리가 들린다면 잡히기 전에 도망쳐,
_7F,7F005,Footsteps,발자국 소리가 따라 오는 것 같다면 그곳을 바라보지 말고 숨을죽여,
_7F,7F006,Escape,드디어 이 곳을 벗어날 방법을 찾았어!,
